Last_Name,First_Name,Division,Country,BIB,Overall_Place,Time,Seconds,Year,Gender,Marathon
moody,tera,30-34,USA,114,181,02:39:32,9572.0,2015,F,Chicago
hyland,rachel,25-29,USA,189,201,02:41:26,9686.0,2015,F,Chicago
harnish,laura,25-29,USA,168,206,02:42:09,9729.0,2015,F,Chicago
moeller,erin,35-39,USA,339,215,02:42:27,9747.0,2015,F,Chicago
kersjes,lauren,20-24,USA,324,259,02:44:28,9868.0,2015,F,Chicago
calle,maria elena,40-44,ECU,345,262,02:44:33,9873.0,2015,F,Chicago
pineda,yolymar,25-29,VEN,185,273,02:44:52,9892.0,2015,F,Chicago
ward,taylor,25-29,USA,119,277,02:45:01,9901.0,2015,F,Chicago
bernardi,alexandra,25-29,USA,328,294,02:45:50,9950.0,2015,F,Chicago
schaper,marie,25-29,USA,402,295,02:45:54,9954.0,2015,F,Chicago
schiemann,katie,25-29,USA,332,297,02:46:01,9961.0,2015,F,Chicago
fulton,naomi,25-29,USA,197,304,02:46:25,9985.0,2015,F,Chicago
ueno,eiko,40-44,JPN,126,311,02:46:39,9999.0,2015,F,Chicago
njeim,chirine,30-34,LBN,337,312,02:46:41,10001.0,2015,F,Chicago
wrenn,bean,40-44,USA,353,315,02:46:47,10007.0,2015,F,Chicago
moats,joy,35-39,USA,360,319,02:46:52,10012.0,2015,F,Chicago
quinn,julianne,25-29,USA,346,322,02:47:05,10025.0,2015,F,Chicago
overbeck crawford,christina,25-29,USA,358,323,02:47:06,10026.0,2015,F,Chicago
ortiz,angela,35-39,USA,323,331,02:47:22,10042.0,2015,F,Chicago
smith,makenna,20-24,USA,198,333,02:47:28,10048.0,2015,F,Chicago
scott,amanda,25-29,USA,362,335,02:47:29,10049.0,2015,F,Chicago
rediger,andrea,25-29,USA,299,337,02:47:31,10051.0,2015,F,Chicago
selert,kir,25-29,USA,392,344,02:47:41,10061.0,2015,F,Chicago
berry,jennifer,30-34,USA,311,351,02:47:51,10071.0,2015,F,Chicago
harper,jessica,20-24,CAN,303,359,02:48:12,10092.0,2015,F,Chicago
hughes,jennifer,35-39,USA,186,360,02:48:12,10092.0,2015,F,Chicago
foster,megan,35-39,USA,184,370,02:48:33,10113.0,2015,F,Chicago
wilson,nicole,25-29,USA,291,371,02:48:51,10131.0,2015,F,Chicago
woodruff,julie,25-29,USA,5188,380,02:49:13,10153.0,2015,F,Chicago
davis,lyndy,25-29,USA,175,382,02:49:19,10159.0,2015,F,Chicago
snyder,kati,30-34,USA,5078,391,02:49:37,10177.0,2015,F,Chicago
grunnagle,dawn,35-39,USA,121,394,02:49:43,10183.0,2015,F,Chicago
passerat de silans,melissandre,35-39,FRA,355,400,02:49:57,10197.0,2015,F,Chicago
olsen,courtney,25-29,USA,173,407,02:50:07,10207.0,2015,F,Chicago
mendez,allison,25-29,USA,122,410,02:50:11,10211.0,2015,F,Chicago
richardson,janae,30-34,USA,354,426,02:50:37,10237.0,2015,F,Chicago
perkins,lauren,30-34,USA,191,438,02:50:53,10253.0,2015,F,Chicago
bartolacci,gina,25-29,USA,397,449,02:51:13,10273.0,2015,F,Chicago
jameson,emily,35-39,USA,292,450,02:51:14,10274.0,2015,F,Chicago
wilson,stephanie,25-29,USA,181,458,02:51:38,10298.0,2015,F,Chicago
parks,michelle,30-34,USA,164,466,02:51:56,10316.0,2015,F,Chicago
cieslak,kylen,25-29,USA,331,471,02:52:08,10328.0,2015,F,Chicago
stephan,faith,25-29,USA,297,486,02:52:27,10347.0,2015,F,Chicago
firth,charlotte,30-34,GBR,333,499,02:52:43,10363.0,2015,F,Chicago
suing,shannon,35-39,USA,157,507,02:52:52,10372.0,2015,F,Chicago
pierret,lindsey,25-29,USA,365,513,02:53:00,10380.0,2015,F,Chicago
kromrey,loryn,30-34,USA,170,531,02:53:17,10397.0,2015,F,Chicago
sessions,jasmine,30-34,USA,171,537,02:53:31,10411.0,2015,F,Chicago
hodge,brenda,40-44,USA,371,539,02:53:32,10412.0,2015,F,Chicago
panke,elizabeth,25-29,USA,165,541,02:53:33,10413.0,2015,F,Chicago
kurian,emily,30-34,USA,438,565,02:54:02,10442.0,2015,F,Chicago
crutchfield,julie,30-34,USA,153,566,02:54:02,10442.0,2015,F,Chicago
guinn,julee,30-34,USA,180,568,02:54:06,10446.0,2015,F,Chicago
fardell,jane,35-39,AUS,167,571,02:54:10,10450.0,2015,F,Chicago
pelchat,marianne,35-39,CAN,387,578,02:54:24,10464.0,2015,F,Chicago
cunningham,melissa,30-34,USA,386,590,02:54:49,10489.0,2015,F,Chicago
morimoto,tania,25-29,USA,159,605,02:55:08,10508.0,2015,F,Chicago
ballas,elissa,35-39,USA,376,610,02:55:11,10511.0,2015,F,Chicago
manuel,lauren,30-34,USA,347,623,02:55:22,10522.0,2015,F,Chicago
moore,katherine,35-39,CAN,163,630,02:55:27,10527.0,2015,F,Chicago
glasheen,adrienne,35-39,USA,310,631,02:55:31,10531.0,2015,F,Chicago
busman,meredith,20-24,USA,176,636,02:55:36,10536.0,2015,F,Chicago
manley,pamela,35-39,USA,293,646,02:55:47,10547.0,2015,F,Chicago
neeper,kathryn,30-34,USA,334,648,02:55:49,10549.0,2015,F,Chicago
zacher,tere,40-44,USA,192,653,02:55:56,10556.0,2015,F,Chicago
teunissen,shannon,30-34,USA,5200,654,02:56:02,10562.0,2015,F,Chicago
norbo,carter,25-29,USA,306,657,02:56:11,10571.0,2015,F,Chicago
bailey,elizabeth,25-29,USA,302,661,02:56:15,10575.0,2015,F,Chicago
baliga,sr. stephanie,25-29,USA,379,671,02:56:23,10583.0,2015,F,Chicago
pollack,jillian,25-29,USA,12036,683,02:56:29,10589.0,2015,F,Chicago
prelle,monica,35-39,USA,373,695,02:56:41,10601.0,2015,F,Chicago
lee,kerry,40-44,USA,341,706,02:56:51,10611.0,2015,F,Chicago
starosciak,kaye,40-44,USA,156,713,02:56:57,10617.0,2015,F,Chicago
sole,amy,30-34,GBR,2008,718,02:57:00,10620.0,2015,F,Chicago
kaskalla,tana,35-39,USA,151,734,02:57:17,10637.0,2015,F,Chicago
wall,cassidy,35-39,USA,158,740,02:57:31,10651.0,2015,F,Chicago
adams,brooke,25-29,USA,5242,752,02:57:40,10660.0,2015,F,Chicago
russeau,kaylin,20-24,USA,351,776,02:58:01,10681.0,2015,F,Chicago
