Year,Country,Gender,Age,Time,Seconds
2016,,M,35.0,02:24:25,8665.0
2016,,M,35.0,02:24:29,8669.0
2016,,M,35.0,02:24:39,8679.0
2016,,M,30.0,02:25:01,8701.0
2016,,M,20.0,02:25:41,8741.0
2016,,M,30.0,02:25:44,8744.0
2016,,M,30.0,02:25:45,8745.0
2016,,M,30.0,02:25:47,8747.0
2016,,M,30.0,02:25:56,8756.0
2016,,M,30.0,02:25:57,8757.0
2016,,M,35.0,02:26:04,8764.0
2016,,M,20.0,02:26:25,8785.0
2016,,M,20.0,02:26:26,8786.0
2016,,M,35.0,02:26:28,8788.0
2016,,M,40.0,02:26:28,8788.0
2016,,M,50.0,02:26:32,8792.0
2016,,M,35.0,02:26:51,8811.0
2016,,M,20.0,02:26:52,8812.0
2016,,M,35.0,02:27:04,8824.0
2016,,M,35.0,02:27:35,8855.0
2016,,M,30.0,02:27:50,8870.0
2016,,M,35.0,02:27:52,8872.0
2016,,M,35.0,02:27:55,8875.0
2016,,M,35.0,02:28:11,8891.0
2016,,M,40.0,02:28:19,8899.0
2016,,M,35.0,02:28:31,8911.0
2016,,M,50.0,02:28:34,8914.0
2016,,M,30.0,02:28:35,8915.0
2016,,M,35.0,02:28:44,8924.0
2016,,M,20.0,02:28:45,8925.0
2016,,M,35.0,02:28:50,8930.0
2016,,M,30.0,02:28:53,8933.0
2016,,M,35.0,02:29:00,8940.0
2016,,M,30.0,02:29:11,8951.0
2016,,M,20.0,02:29:15,8955.0
2016,,M,35.0,02:29:15,8955.0
2016,,M,45.0,02:29:17,8957.0
2016,,M,30.0,02:29:27,8967.0
2016,,M,30.0,02:29:32,8972.0
2016,,M,40.0,02:29:32,8972.0
2016,,M,40.0,02:29:32,8972.0
2016,,M,20.0,02:29:33,8973.0
2016,,M,40.0,02:29:33,8973.0
2016,,M,35.0,02:29:37,8977.0
2016,,M,30.0,02:29:52,8992.0
2016,,M,35.0,02:30:04,9004.0
2016,,M,35.0,02:30:11,9011.0
2016,,M,35.0,02:30:32,9032.0
2016,,M,35.0,02:30:48,9048.0
2016,,M,40.0,02:30:55,9055.0
2016,,M,30.0,02:30:57,9057.0
2016,,M,35.0,02:31:02,9062.0
2016,,M,35.0,02:31:13,9073.0
2016,,M,30.0,02:31:16,9076.0
2016,,M,35.0,02:31:17,9077.0
2016,,M,20.0,02:31:18,9078.0
2016,,M,30.0,02:31:21,9081.0
2016,,M,35.0,02:31:24,9084.0
2017,,M,30.0,02:03:32,7412.0
2017,,M,20.0,02:03:46,7426.0
2017,,M,20.0,02:06:09,7569.0
2017,,M,30.0,02:06:13,7573.0
2017,,M,30.0,02:06:14,7574.0
2017,,M,20.0,02:09:03,7743.0
2017,,M,20.0,02:11:24,7884.0
2017,,M,30.0,02:12:40,7960.0
2017,,M,30.0,02:12:52,7972.0
2017,,M,30.0,02:12:57,7977.0
2017,,M,30.0,02:13:10,7990.0
2017,,M,20.0,02:13:22,8002.0
2017,,M,20.0,02:14:28,8068.0
2017,,M,20.0,02:14:45,8085.0
2017,,M,20.0,02:15:05,8105.0
2017,,M,20.0,02:15:12,8112.0
2017,,M,20.0,02:15:32,8132.0
2017,,M,30.0,02:15:49,8149.0
2017,,M,30.0,02:15:50,8150.0
2017,,M,20.0,02:16:02,8162.0
2017,,M,20.0,02:16:03,8163.0
2017,,M,35.0,02:16:38,8198.0
2017,,M,20.0,02:16:53,8213.0
2017,,M,35.0,02:17:10,8230.0
2017,,M,30.0,02:17:17,8237.0
2017,,M,35.0,02:17:17,8237.0
2017,,M,30.0,02:17:37,8257.0
2017,,M,35.0,02:17:57,8277.0
2017,,M,20.0,02:18:09,8289.0
2017,,M,20.0,02:18:15,8295.0
2017,,M,30.0,02:18:19,8299.0
2017,,M,30.0,02:18:43,8323.0
2017,,M,20.0,02:18:52,8332.0
2017,,M,35.0,02:18:54,8334.0
2017,,M,35.0,02:18:55,8335.0
2017,,M,20.0,02:19:01,8341.0
2017,,M,20.0,02:19:20,8360.0
2017,,M,20.0,02:19:22,8362.0
2017,,M,30.0,02:19:24,8364.0
2017,,M,40.0,02:19:25,8365.0
2017,,M,20.0,02:19:26,8366.0
2017,,M,30.0,02:19:28,8368.0
2017,,M,30.0,02:19:35,8375.0
2017,,M,20.0,02:19:39,8379.0
2017,,M,20.0,02:19:41,8381.0
2017,,M,30.0,02:19:51,8391.0
2017,,M,35.0,02:20:06,8406.0
2017,,M,20.0,02:20:07,8407.0
2017,,M,20.0,02:20:14,8414.0
2017,,M,30.0,02:20:15,8415.0
2017,,M,20.0,02:20:18,8418.0
2017,,M,35.0,02:20:20,8420.0
2017,,M,20.0,02:21:58,8518.0
2017,,M,35.0,02:22:00,8520.0
2017,,M,20.0,02:22:09,8529.0
2017,,M,20.0,02:22:18,8538.0
2017,,M,30.0,02:22:30,8550.0
2017,,M,20.0,02:22:41,8561.0
2017,,M,20.0,02:23:03,8583.0
2017,,M,20.0,02:23:35,8615.0
2017,,M,30.0,02:23:45,8625.0
2017,,M,30.0,02:23:46,8626.0
2017,,M,30.0,02:24:11,8651.0
2017,,M,30.0,02:24:19,8659.0
2017,,M,45.0,02:24:23,8663.0
2017,,M,30.0,02:24:24,8664.0
2017,,M,35.0,02:24:26,8666.0
2017,,M,35.0,02:24:38,8678.0
2017,,M,30.0,02:24:51,8691.0
2017,,M,35.0,02:26:04,8764.0
2017,,M,20.0,02:26:35,8795.0
2017,,M,20.0,02:26:44,8804.0
2017,,M,20.0,02:26:44,8804.0
2017,,M,30.0,02:26:56,8816.0
2017,,M,20.0,02:27:11,8831.0
2017,,M,30.0,02:27:15,8835.0
2017,,M,40.0,02:27:21,8841.0
2017,,M,35.0,02:27:29,8849.0
2017,,M,40.0,02:27:32,8852.0
2017,,M,40.0,02:27:49,8869.0
2017,,M,20.0,02:27:55,8875.0
2017,,M,30.0,02:27:55,8875.0
2017,,M,30.0,02:28:17,8897.0
2017,,M,35.0,02:28:18,8898.0
2017,,M,30.0,02:28:19,8899.0
2017,,M,35.0,02:28:21,8901.0
2017,,M,40.0,02:28:22,8902.0
2017,,M,35.0,02:28:28,8908.0
2017,,M,20.0,02:28:36,8916.0
2017,,M,20.0,02:28:37,8917.0
2017,,M,20.0,02:28:41,8921.0
2017,,M,20.0,02:28:41,8921.0
2017,,M,20.0,02:28:42,8922.0
2017,,M,40.0,02:28:44,8924.0
2017,,M,30.0,02:28:45,8925.0
2017,,M,35.0,02:28:45,8925.0
2017,,M,30.0,02:28:46,8926.0
2017,,M,35.0,02:28:46,8926.0
2017,,M,35.0,02:28:46,8926.0
2017,,M,35.0,02:28:50,8930.0
2018,,M,30.0,02:01:39,7299.0
2018,,M,20.0,02:06:23,7583.0
2018,,M,35.0,02:06:48,7608.0
2018,,M,20.0,02:08:16,7696.0
2018,,M,35.0,02:08:46,7726.0
2018,,M,30.0,02:09:18,7758.0
2018,,M,30.0,02:09:56,7796.0
2018,,M,20.0,02:11:07,7867.0
2018,,M,20.0,02:12:57,7977.0
2018,,M,20.0,02:13:09,7989.0
2018,,M,30.0,02:13:43,8023.0
2018,,M,30.0,02:14:57,8097.0
2018,,M,35.0,02:15:00,8100.0
2018,,M,30.0,02:15:04,8104.0
2018,,M,20.0,02:15:19,8119.0
2018,,M,20.0,02:15:37,8137.0
2018,,M,20.0,02:16:26,8186.0
2018,,M,30.0,02:16:28,8188.0
2018,,M,30.0,02:16:39,8199.0
2018,,M,35.0,02:17:29,8249.0
2018,,M,20.0,02:17:48,8268.0
2018,,M,40.0,02:19:06,8346.0
2018,,M,20.0,02:19:14,8354.0
2018,,M,35.0,02:19:45,8385.0
2018,,M,30.0,02:19:53,8393.0
2018,,M,40.0,02:19:54,8394.0
2018,,M,20.0,02:20:18,8418.0
2018,,M,20.0,02:20:52,8452.0
2018,,M,30.0,02:21:01,8461.0
2018,,M,35.0,02:21:14,8474.0
2018,,M,20.0,02:21:54,8514.0
2018,,M,30.0,02:22:18,8538.0
2018,,M,20.0,02:22:31,8551.0
2018,,M,30.0,02:22:40,8560.0
2018,,M,20.0,02:23:00,8580.0
2018,,M,30.0,02:23:09,8589.0
2018,,M,30.0,02:23:11,8591.0
2018,,M,30.0,02:23:24,8604.0
2018,,M,40.0,02:23:26,8606.0
2018,,M,20.0,02:23:29,8609.0
2018,,M,30.0,02:23:57,8637.0
2018,,M,20.0,02:23:58,8638.0
2018,,M,30.0,02:24:03,8643.0
2018,,M,20.0,02:24:14,8654.0
2018,,M,30.0,02:24:19,8659.0
2018,,M,30.0,02:24:21,8661.0
2018,,M,20.0,02:24:38,8678.0
2018,,M,30.0,02:24:44,8684.0
2018,,M,20.0,02:25:05,8705.0
2018,,M,20.0,02:25:08,8708.0
2018,,M,20.0,02:25:20,8720.0
2018,,M,35.0,02:25:23,8723.0
2018,,M,20.0,02:25:30,8730.0
2018,,M,20.0,02:25:37,8737.0
2018,,M,35.0,02:25:41,8741.0
2018,,M,35.0,02:26:03,8763.0
2018,,M,35.0,02:26:09,8769.0
2018,,M,40.0,02:26:10,8770.0
2018,,M,30.0,02:26:14,8774.0
2018,,M,35.0,02:26:19,8779.0
2018,,M,30.0,02:26:21,8781.0
2018,,M,30.0,02:26:27,8787.0
2018,,M,35.0,02:26:47,8807.0
2018,,M,35.0,02:26:48,8808.0
2018,,M,30.0,02:26:57,8817.0
2018,,M,20.0,02:27:05,8825.0
2018,,M,35.0,02:27:05,8825.0
2018,,M,40.0,02:27:11,8831.0
2018,,M,30.0,02:27:27,8847.0
2018,,M,30.0,02:27:33,8853.0
2018,,M,30.0,02:27:37,8857.0
2018,,M,20.0,02:27:51,8871.0
2018,,M,20.0,02:27:53,8873.0
2018,,M,30.0,02:27:54,8874.0
2018,,M,40.0,02:27:55,8875.0
2018,,M,20.0,02:27:58,8878.0
2018,,M,40.0,02:28:05,8885.0
2018,,M,20.0,02:28:11,8891.0
2018,,M,40.0,02:28:15,8895.0
2018,,M,45.0,02:28:22,8902.0
2018,,M,30.0,02:28:30,8910.0
2018,,M,40.0,02:28:30,8910.0
2018,,M,40.0,02:28:32,8912.0
2018,,M,35.0,02:28:36,8916.0
2018,,M,20.0,02:28:37,8917.0
2018,,M,45.0,02:28:38,8918.0
2018,,M,40.0,02:28:43,8923.0
2018,,M,30.0,02:28:45,8925.0
2018,,M,30.0,02:29:01,8941.0
2018,,M,30.0,02:29:02,8942.0
2018,,M,20.0,02:29:03,8943.0
2018,,M,20.0,02:29:07,8947.0
2018,,M,30.0,02:29:19,8959.0
2018,,M,20.0,02:29:20,8960.0
2018,,M,30.0,02:29:29,8969.0
2018,,M,30.0,02:29:41,8981.0
2018,,M,30.0,02:29:42,8982.0
2018,,M,35.0,02:29:51,8991.0
2018,,M,20.0,02:29:54,8994.0
2018,,M,35.0,02:29:56,8996.0
2019,ETH,M,35.0,02:01:41,7301.0
2019,ETH,M,20.0,02:02:48,7368.0
2019,ETH,M,20.0,02:03:36,7416.0
2019,KEN,M,30.0,02:06:45,7605.0
2019,KEN,M,30.0,02:08:07,7687.0
